indicator;sex;measure_type;measurement;minus_3sd;minus_2sd;minus_1sd;median;plus_1sd;plus_2sd;plus_3sd
BB/TB;P;height_cm;105;12.9;14;15.3;16.8;18.4;20.3;22.5
BB/TB;P;height_cm;105.5;13;14.2;15.5;16.9;18.6;20.5;22.7
BB/TB;P;height_cm;106;13.1;14.3;15.6;17.1;18.8;20.8;23
BB/TB;P;height_cm;106.5;13.3;14.5;15.8;17.3;19;21;23.2
BB/TB;P;height_cm;107;13.4;14.6;15.9;17.5;19.2;21.2;23.5
BB/TB;P;height_cm;107.5;13.5;14.7;16.1;17.7;19.4;21.4;23.7
BB/TB;P;height_cm;108;13.7;14.9;16.3;17.8;19.6;21.7;24
BB/TB;P;height_cm;108.5;13.8;15;16.4;18;19.8;21.9;24.3
BB/TB;P;height_cm;109;13.9;15.2;16.6;18.2;20;22.1;24.5
BB/TB;P;height_cm;109.5;14.1;15.4;16.8;18.4;20.3;22.4;24.8
BB/TB;P;height_cm;110;14.2;15.5;17;18.6;20.5;22.6;25.1
BB/TB;P;height_cm;110.5;14.4;15.7;17.1;18.8;20.7;22.9;25.4
BB/TB;P;height_cm;111;14.5;15.8;17.3;19;20.9;23.1;25.7
BB/TB;P;height_cm;111.5;14.7;16;17.5;19.2;21.2;23.4;26
BB/TB;P;height_cm;112;14.8;16.2;17.7;19.4;21.4;23.6;26.2
BB/TB;P;height_cm;112.5;15;16.3;17.9;19.6;21.6;23.9;26.5
BB/TB;P;height_cm;113;15.1;16.5;18;19.8;21.8;24.2;26.8
BB/TB;P;height_cm;113.5;15.3;16.7;18.2;20;22.1;24.4;27.1
BB/TB;P;height_cm;114;15.4;16.8;18.4;20.2;22.3;24.7;27.4
BB/TB;P;height_cm;114.5;15.6;17;18.6;20.5;22.6;25;27.8
BB/TB;P;height_cm;115;15.7;17.2;18.8;20.7;22.8;25.2;28.1
BB/TB;P;height_cm;115.5;15.9;17.3;19;20.9;23;25.5;28.4
BB/TB;P;height_cm;116;16;17.5;19.2;21.1;23.3;25.8;28.7
BB/TB;P;height_cm;116.5;16.2;17.7;19.4;21.3;23.5;26.1;29
BB/TB;P;height_cm;117;16.3;17.8;19.6;21.5;23.8;26.3;29.3
BB/TB;P;height_cm;117.5;16.5;18;19.8;21.7;24;26.6;29.6
BB/TB;P;height_cm;118;16.6;18.2;19.9;22;24.2;26.9;29.9
BB/TB;P;height_cm;118.5;16.8;18.4;20.1;22.2;24.5;27.2;30.3
BB/TB;P;height_cm;119;16.9;18.5;20.3;22.4;24.7;27.4;30.6
BB/TB;P;height_cm;119.5;17.1;18.7;20.5;22.6;25;27.7;30.9
BB/TB;P;height_cm;120;17.3;18.9;20.7;22.8;25.2;28;31.2
